"","1 Years","2 Years","3 Years","2019-06-2023-01"
"Annualized Returns",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","-4.089","5.14","6.655","8.719"
"2019-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.773"
"Volatility",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","19.27","14.94","20.22","18.58"
"2019-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.88"
"Tracking Error",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","6.39","5.89","8.05","7.53"
"2019-06-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","0.37","-0.25","0.12","0.26"
"2019-06-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","0.42","-0.18","0.04","0.06"
"2019-06-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","1.1","1.02","1.07","1.07"
"2019-06-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","88.56","83.75","84.08","83.54"
"2019-06-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-06-02_to_2023-01-13_Index_7QRank","-22.327","-22.327","-36.5919","-36.5919"
"2019-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
