"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-26_to_2022-12-01_Index_3QRank","-75.666","-59.006"
"2021-09-26_to_2022-12-01_Crypto10_Index","-85.498","-78.689"
"Volatility",,
"2021-09-26_to_2022-12-01_Index_3QRank","81.65","80.12"
"2021-09-26_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-26_to_2022-12-01_Index_3QRank","45.18","41.04"
"2021-09-26_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-26_to_2022-12-01_Index_3QRank","0.22","0.48"
"2021-09-26_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-26_to_2022-12-01_Index_3QRank","1.13","3.23"
"2021-09-26_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-26_to_2022-12-01_Index_3QRank","0.82","0.86"
"2021-09-26_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-26_to_2022-12-01_Index_3QRank","69.73","73.91"
"2021-09-26_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-26_to_2022-12-01_Index_3QRank","-81.4354","-82.559"
"2021-09-26_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
