"","2021-12-2022-12"
"Annualized Returns",
"2021-12-15_to_2022-12-01_Index_3QRank","-69.83"
"2021-12-15_to_2022-12-01_Crypto10_Index","-84.879"
"Volatility",
"2021-12-15_to_2022-12-01_Index_3QRank","71.59"
"2021-12-15_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-15_to_2022-12-01_Index_3QRank","49.29"
"2021-12-15_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-15_to_2022-12-01_Index_3QRank","0.31"
"2021-12-15_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-15_to_2022-12-01_Index_3QRank","-0.21"
"2021-12-15_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-15_to_2022-12-01_Index_3QRank","0.69"
"2021-12-15_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-15_to_2022-12-01_Index_3QRank","62.44"
"2021-12-15_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-15_to_2022-12-01_Index_3QRank","-78.3079"
"2021-12-15_to_2022-12-01_Crypto10_Index","-84.2467"
