"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-17_to_2022-12-01_Index_3QRank","-78.237","-26.197"
"2021-07-17_to_2022-12-01_Crypto10_Index","-85.498","-68.417"
"Volatility",,
"2021-07-17_to_2022-12-01_Index_3QRank","84.27","95.54"
"2021-07-17_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-17_to_2022-12-01_Index_3QRank","42.03","49.75"
"2021-07-17_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-17_to_2022-12-01_Index_3QRank","0.17","0.85"
"2021-07-17_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-17_to_2022-12-01_Index_3QRank","1.13","7.19"
"2021-07-17_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-17_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-17_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-17_to_2022-12-01_Index_3QRank","74.19","70.98"
"2021-07-17_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-17_to_2022-12-01_Index_3QRank","-82.5141","-83.6682"
"2021-07-17_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
