"","2022-01-2022-12"
"Annualized Returns",
"2022-01-25_to_2022-12-01_Index_3QRank","-63.757"
"2022-01-25_to_2022-12-01_Crypto10_Index","-79.944"
"Volatility",
"2022-01-25_to_2022-12-01_Index_3QRank","75.57"
"2022-01-25_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-25_to_2022-12-01_Index_3QRank","44.63"
"2022-01-25_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-25_to_2022-12-01_Index_3QRank","0.36"
"2022-01-25_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-25_to_2022-12-01_Index_3QRank","1.74"
"2022-01-25_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-25_to_2022-12-01_Index_3QRank","0.74"
"2022-01-25_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-25_to_2022-12-01_Index_3QRank","71.68"
"2022-01-25_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-25_to_2022-12-01_Index_3QRank","-72.842"
"2022-01-25_to_2022-12-01_Crypto10_Index","-81.2244"
