"","2022-03-2022-12"
"Annualized Returns",
"2022-03-06_to_2022-12-01_Index_3QRank","-70.927"
"2022-03-06_to_2022-12-01_Crypto10_Index","-85.326"
"Volatility",
"2022-03-06_to_2022-12-01_Index_3QRank","74.93"
"2022-03-06_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-06_to_2022-12-01_Index_3QRank","44.38"
"2022-03-06_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-06_to_2022-12-01_Index_3QRank","0.32"
"2022-03-06_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-06_to_2022-12-01_Index_3QRank","-2.12"
"2022-03-06_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-06_to_2022-12-01_Index_3QRank","0.69"
"2022-03-06_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-06_to_2022-12-01_Index_3QRank","78.19"
"2022-03-06_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-06_to_2022-12-01_Index_3QRank","-74.4418"
"2022-03-06_to_2022-12-01_Crypto10_Index","-79.9416"
