"","2021-12-2022-12"
"Annualized Returns",
"2021-12-31_to_2022-12-01_Index_3QRank","-71.825"
"2021-12-31_to_2022-12-01_Crypto10_Index","-84.015"
"Volatility",
"2021-12-31_to_2022-12-01_Index_3QRank","70.45"
"2021-12-31_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-31_to_2022-12-01_Index_3QRank","49.87"
"2021-12-31_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-31_to_2022-12-01_Index_3QRank","0.24"
"2021-12-31_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-31_to_2022-12-01_Index_3QRank","-0.37"
"2021-12-31_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-31_to_2022-12-01_Index_3QRank","0.67"
"2021-12-31_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-31_to_2022-12-01_Index_3QRank","61.5"
"2021-12-31_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-31_to_2022-12-01_Index_3QRank","-76.5427"
"2021-12-31_to_2022-12-01_Crypto10_Index","-82.5191"
