"","2022-03-2022-12"
"Annualized Returns",
"2022-03-01_to_2022-12-01_Index_3QRank","-75.368"
"2022-03-01_to_2022-12-01_Crypto10_Index","-86.648"
"Volatility",
"2022-03-01_to_2022-12-01_Index_3QRank","74.8"
"2022-03-01_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-01_to_2022-12-01_Index_3QRank","44.59"
"2022-03-01_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-01_to_2022-12-01_Index_3QRank","0.25"
"2022-03-01_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-01_to_2022-12-01_Index_3QRank","-2.08"
"2022-03-01_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-01_to_2022-12-01_Index_3QRank","0.69"
"2022-03-01_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-01_to_2022-12-01_Index_3QRank","77.97"
"2022-03-01_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-01_to_2022-12-01_Index_3QRank","-74.311"
"2022-03-01_to_2022-12-01_Crypto10_Index","-79.9416"
