"","2021-12-2022-12"
"Annualized Returns",
"2021-12-20_to_2022-12-01_Index_3QRank","-69.811"
"2021-12-20_to_2022-12-01_Crypto10_Index","-83.996"
"Volatility",
"2021-12-20_to_2022-12-01_Index_3QRank","70.95"
"2021-12-20_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-20_to_2022-12-01_Index_3QRank","49.43"
"2021-12-20_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-20_to_2022-12-01_Index_3QRank","0.29"
"2021-12-20_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-20_to_2022-12-01_Index_3QRank","-0.27"
"2021-12-20_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-20_to_2022-12-01_Index_3QRank","0.68"
"2021-12-20_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-20_to_2022-12-01_Index_3QRank","62.19"
"2021-12-20_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-20_to_2022-12-01_Index_3QRank","-78.1033"
"2021-12-20_to_2022-12-01_Crypto10_Index","-84.0788"
