"","2022-03-2022-12"
"Annualized Returns",
"2022-03-05_to_2022-12-01_Index_3QRank","-72.418"
"2022-03-05_to_2022-12-01_Crypto10_Index","-85.221"
"Volatility",
"2022-03-05_to_2022-12-01_Index_3QRank","74.83"
"2022-03-05_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-05_to_2022-12-01_Index_3QRank","44.43"
"2022-03-05_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-05_to_2022-12-01_Index_3QRank","0.29"
"2022-03-05_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-05_to_2022-12-01_Index_3QRank","-2.11"
"2022-03-05_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-05_to_2022-12-01_Index_3QRank","0.69"
"2022-03-05_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-05_to_2022-12-01_Index_3QRank","78.16"
"2022-03-05_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-05_to_2022-12-01_Index_3QRank","-74.3764"
"2022-03-05_to_2022-12-01_Crypto10_Index","-79.9416"
