"","2022-01-2022-12"
"Annualized Returns",
"2022-01-10_to_2022-12-01_Index_3QRank","-70.538"
"2022-01-10_to_2022-12-01_Crypto10_Index","-83.692"
"Volatility",
"2022-01-10_to_2022-12-01_Index_3QRank","75.01"
"2022-01-10_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-10_to_2022-12-01_Index_3QRank","45.82"
"2022-01-10_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-10_to_2022-12-01_Index_3QRank","0.29"
"2022-01-10_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-10_to_2022-12-01_Index_3QRank","1.75"
"2022-01-10_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-10_to_2022-12-01_Index_3QRank","0.72"
"2022-01-10_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-10_to_2022-12-01_Index_3QRank","70.14"
"2022-01-10_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-10_to_2022-12-01_Index_3QRank","-75.2579"
"2022-01-10_to_2022-12-01_Crypto10_Index","-82.5191"
